ent_num,program,sdn_name,sdn_type,title
25,CUBA,"ACEFROSTY SHIPPING CO., LTD.",,
36,CUBA,AEROCARIBBEAN AIRLINES,,
39,CUBA,"AEROTAXI EJECUTIVO, S.A.",,
66,CUBA,RAUL AGUIAR,individual,"Director, Banco Nacional de Cuba"
150,CUBA,CARLO GIOVANNI ALOARDI,individual,
158,CUBA,MANUEL ALVAREZ AGUIRRE,individual,
172,CUBA,ALEJANDRO ABOOD ANGELINI,individual,
173,CUBA,"ANGLO-CARIBBEAN CO., LTD.",,
224,CUBA,"ARION SHIPPING CO., LTD.",,
306,CUBA,BANCO NACIONAL DE CUBA,,
342,CUBA,MIGUEL BATISTA,individual,
350,CUBA,"BELMEX IMPORT EXPORT CO., LTD.",,
424,CUBA,BOUTIQUE LA MAISON,,
439,CUBA,BURGAN INTERNATIONAL,,
464,CUBA,"CARIBERIA, S.A.",,
472,CUBA,"CARIBSUGAR INTERNATIONAL TRADERS, S.A.",,
475,CUBA,CASA DE CUBA,,
476,CUBA,CASA DEL REPUESTO,,
480,CUBA,"CECOEX, S.A.",,
521,CUBA,LAZARO R. CHAO,individual,"Executive Director, Havana International Bank"
531,CUBA,CICLON,vessel,
533,CUBA,"CIMECO, SRL",,
535,CUBA,CIMEX,,
536,CUBA,CIMEX IBERICA,,
537,CUBA,"CIMEX, S.A.",,
540,CUBA,"COMERCIAL IBEROAMERICANA, S.A.",,
541,CUBA,GABRIEL COLL PRADO,individual,
543,CUBA,EDUARDO COLON BETANCOURT,individual,
544,CUBA,"COLONY TRADING, S.A.",,
551,CUBA,"COMERCIAL CIMEX, S.A.",,
552,CUBA,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",,
554,CUBA,"COMERCIAL MURALLA, S.A.",,
555,CUBA,COMERCIALIZACION DE PRODUCTOS VARIOS,,
559,CUBA,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,,
560,CUBA,"COMPANIA FENIX INTERNACIONAL, S.A.",,
563,CUBA,"CONTEX, S.A.",,
575,CUBA,"CORPORACION ARGENTINA DE INGENIERIA Y ARQUITECTURA, S.A.",,
576,CUBA,"CORPORACION CIMEX, S.A.",,
577,CUBA,CORPORACION IBEROAMERICANA DEL COMERCIO,,
578,CUBA,COTEI,,
586,CUBA,ANTONIO PEDRO CRUZ REYES,individual,
587,CUBA,JUAN M. DE LA CRUZ,individual,"Director, Banco Nacional de Cuba"
589,CUBA,"CRYMSA - ARGENTINA, S.A.",,
590,CUBA,CUBACANCUN CIGARS AND GIFT SHOPS,,
591,CUBA,CUBAEXPORT,,
592,CUBA,CUBAFRUTAS,,
593,CUBA,CUBAN CIGARS TRADE,,
621,CUBA,CUBANATUR,,
622,CUBA,CUBATABACO,,
624,CUBA,RAMON CESAR CUENCA,individual,
636,CUBA,"CUMEXINT, S.A.",,
637,CUBA,CUREF METAL PROCESSING BV,,
649,CUBA,NAOMI A. DE FRANCE,individual,
651,CUBA,"DELVEST HOLDING, S.A.",,
654,CUBA,"DESARROLLO DE PROYECTOS, S.A.",,
656,CUBA,"DESARROLLO INDUSTRIAL CUBANO ESPANOL, S.A.",,
658,CUBA,ROLANDO DIAZ GONZALEZ,individual,
674,CUBA,CARLOS DOMINGUEZ,individual,
676,CUBA,MICHAEL P. DOOLEY,individual,
688,CUBA,DURGACO,,
700,CUBA,GERMAN ECHEVERRI,individual,
701,CUBA,EDICIONES CUBANAS,,
702,CUBA,"EDYJU, S.A.",,
703,CUBA,WILFRED EGGLETON,individual,"Director General, Cubanatur"
735,CUBA,EMPRESA CUBANA DE AVIACION,,
751,CUBA,EMPRESA CUBANA DE PESCADOS Y MARISCOS,,
758,CUBA,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,,
767,CUBA,ETCO INTERNATIONAL COMMODITIES LTD.,,
768,CUBA,"ETCO INTERNATIONAL COMPANY, LIMITED",,
774,CUBA,EXPORTADORA DEL CARIBE,,
782,CUBA,"FABRO INVESTMENT, INC.",,
783,CUBA,FACOBATA,,
815,CUBA,"GALAX TRADING CO., LTD.",,
816,CUBA,GALLO IMPORT,,
817,CUBA,DANIEL GARCIA,individual,"Manager, Promociones Artisticas (PROARTE)"
822,CUBA,GEMEX AUSSENHANDELS GMBH,,
885,CUBA,CARLOS ALFONSO GONZALEZ,individual,
892,CUBA,GUACA EXPORT,,
895,CUBA,GUAMATUR,,
899,CUBA,JOSE GUTIERREZ REYES,individual,
901,CUBA,HABANOS TRADING,,
906,CUBA,"HAVANA INTERNATIONAL BANK, LTD.",,
907,CUBA,HAVANATUR,,
910,CUBA,"HAVINPEX, S.A.",,
911,CUBA,FRANCISCO HAYA,individual,
932,CUBA,ALEXIS ENEILO HERNANDEZ CARBALLOSA,individual,
969,CUBA,JULIO A. IMPERATORI,individual,"Managing Director, Havana International Bank"
973,CUBA,"IMPRISA, S.A.",,
974,CUBA,IMPRISA,,
1042,CUBA,INSTITUTO NACIONAL DE TURISMO DE CUBA,,
1043,CUBA,INTERCONSULT,,
1051,CUBA,"INTERNATIONAL PETROLEUM, S.A.",,
1053,CUBA,INTERNATIONAL TRANSPORT CORPORATION,,
1148,CUBA,GILLERMO JIMINEZ SOLER,individual,
1241,CUBA,"KAVE, S.A.",,
1286,CUBA,"KYOEI INTERNATIONAL COMPANY, LIMITED",,
1287,CUBA,LA EMPRESA CUBANA DE FLETES,,
1307,CUBA,LAKSHMI,,
1313,CUBA,JOSE A. LEBREDO,individual,"Director, Banco Nacional de Cuba"
1316,CUBA,"LEVERAGE, S.A.",,
1317,CUBA,"LEVERYE, S.A.",,
1318,CUBA,"LEYBDA CORPORATION, S.A.",,
1344,CUBA,LICOREXPORT S.A.,,
1355,CUBA,JULIO LOBATO,individual,
1356,CUBA,MIGUEL A. LOPEZ,individual,"Deputy Chairman, Havana International Bank"
1357,CUBA,QUIRINO GUTIERREZ LOPEZ,individual,
1367,CUBA,JORGE MADAN RIVAS,individual,
1378,CUBA,MANZPER CORP.,,
1381,CUBA,MARINE REGISTRATION COMPANY,,
1383,CUBA,"MARISCO DE FARALLON, S.A.",,
1384,CUBA,MARKETING ASSOCIATES CORPORATION,,
1398,CUBA,ANA MARIA MEDINA,individual,
1410,CUBA,"MERCURIUS IMPORT/EXPORT COMPANY, PANAMA, S.A.",,
1457,CUBA,MONET TRADING COMPANY,,
1460,CUBA,MICHAEL MONTANEZ,individual,
1479,CUBA,"MOONEX INTERNATIONAL, S.A.",,
1543,CUBA,SAMUEL NAVARRO MARTINEZ,individual,
1544,CUBA,"NAVIERA MARITIMA DE AROSA, S.A.",,
1554,CUBA,"NIPPON-CARIBBEAN CO., LTD.",,
1555,CUBA,NIREF,,
1570,CUBA,NORDSTRAND LTD.,,
1571,CUBA,NORDSTRAND MARITIME AND TRADING COMPANY,,
1572,CUBA,MANUEL ANTONIO NORIEGA,individual,
1597,CUBA,OCTUBRE HOLDING SOCIETE ANONIME,,
1625,CUBA,JOSE ANTONIO REGO ORS,individual,
1626,CUBA,DARIO ORTEGA PINA,individual,
1627,CUBA,GUADALUPE ORTIZ,individual,
1639,CUBA,"PAMIT C. SHIPPING CO., LTD.",,
1641,CUBA,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,,
1644,CUBA,PANOAMERICANA,,
1650,CUBA,JOSE PENA TORRES,individual,
1651,CUBA,VICTOR PENA,individual,
1655,CUBA,ALFONSO PEREZ,individual,
1656,CUBA,MANUEL MARTIN PEREZ,individual,
1657,CUBA,OSVALDO PEREZ CRUZ,individual,
1658,CUBA,"PESCABRAVA, S.A.",,
1659,CUBA,"PESCABRAVA, S.A.",,
1660,CUBA,"PESCABRAVA, S.A.",,
1675,CUBA,PIONEER SHIPPING LTD.,,
1694,CUBA,LAZARO PONCE DE LEON GOMEZ,individual,
1700,CUBA,PRELASA,,
1701,CUBA,PRENSA LATINA CANADA LTD.,,
1702,CUBA,PRENSA LATINA,,
1703,CUBA,"PRESA, S.A.",,
1704,CUBA,PRIMA EXPORT/IMPORT,,
1736,CUBA,PROMOCIONES ARTISTICAS,,
1737,CUBA,"PROMOTORA ANDINA, S.A.",,
1751,CUBA,QUIMINTER GMBH,,
1798,CUBA,"RENT-A-CAR, S.A.",,
1799,CUBA,GUILLERMO REYES VERGARA,individual,
1809,CUBA,ANTONIO ROCHA,individual,
1810,CUBA,JESUS RODRIQUEZ BORGES,individual,
1811,CUBA,JOSE JULIO RODRIQUEZ,individual,"Chairman, Havana International Bank"
1812,CUBA,CHARLES ROMEO,individual,
1813,CUBA,MIRIA CONTRERAS ROPERT,individual,
1814,CUBA,ROBERTO ROQUE PEREZ,individual,
